
List of user-set options:

                                    Name   Value                used
                           linear_solver = ma57                  yes
                  ma57_automatic_scaling = yes                   yes
                                max_iter = 2000                  yes
                             mu_strategy = adaptive              yes
                             output_file = DynamicOptimization_FtildeStateIPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 1e-006                yes
This is Ipopt version 3.11.0, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:   379380
Number of nonzeros in inequality constraint Jacobian.:      172
Number of nonzeros in Lagrangian Hessian.............:   149721

Reallocating memory for MA57: lfact (8223916)
Total number of variables............................:    76020
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    76020
                     variables with only upper bounds:        0
Total number of equality constraints.................:    57487
Total number of inequality constraints...............:       87
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:       87
        inequality constraints with only upper bounds:        0
 107 8.8737602e-001 8.88e+000 9.22e-005  -7.2 5.59e+000  -7.4 1.00e+000 1.00e+000h  1
 108 8.8737380e-001 4.91e-001 1.05e-005  -7.2 1.94e+000  -6.9 1.00e+000 1.00e+000h  1
 109 8.8737214e-001 4.56e-001 5.92e-004  -7.2 7.58e+000  -7.4 5.31e-001 2.31e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110 8.8737171e-001 1.33e-002 1.76e-006  -7.2 2.88e-001  -6.1 1.00e+000 1.00e+000h  1
 111 8.8679539e-001 1.93e-001 3.77e-006  -7.6 9.10e-001  -6.6 1.00e+000 1.00e+000h  1
 112 8.8713259e-001 4.16e-001 1.08e-005  -7.3 2.74e+000  -7.1 1.00e+000 1.00e+000h  1
 113 8.8706304e-001 9.45e-001 8.89e-004  -7.4 7.05e+000  -7.5 1.00e+000 4.63e-001h  1
 114 8.8698485e-001 4.91e-001 3.16e-006  -7.4 2.74e+000  -7.1 1.00e+000 1.00e+000h  1
 115 8.8675963e-001 1.21e+001 1.67e-005  -7.6 7.18e+000  -7.6 9.84e-001 1.00e+000h  1
 116 8.8783301e-001 4.58e+000 3.12e-003  -6.9 1.63e+000  -7.2 2.33e-001 6.22e-001h  1
 117 8.8702859e-001 3.03e-001 2.51e-005  -7.4 3.06e-001  -5.8 1.00e+000 1.00e+000h  1
 118 8.8708182e-001 1.18e-001 3.36e-006  -7.4 1.57e-001  -6.3 1.00e+000 1.00e+000h  1
 119 8.8671644e-001 7.48e-002 5.75e-006  -7.7 8.52e-002  -5.9 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120 8.8654480e-001 1.52e-001 7.18e-006  -8.0 2.21e-001  -6.4 1.00e+000 1.00e+000h  1
 121 8.8665991e-001 6.46e-002 1.28e-006  -7.8 4.76e-001  -6.8 1.00e+000 1.00e+000h  1
 122 8.8651650e-001 7.56e-001 2.59e-006  -8.1 1.40e+000  -7.3 1.00e+000 1.00e+000h  1
 123 8.8651650e-001 8.57e-001 8.59e-004  -8.2 1.17e+001  -7.8 1.00e+000 3.12e-002h  6
 124 8.8647774e-001 1.79e+000 1.44e-004  -8.4 1.59e+000  -7.4 8.33e-001 1.00e+000h  1
 125 8.8657452e-001 3.96e+001 1.20e-003  -8.0 1.08e+001  -7.8 6.02e-001 1.00e+000h  1
 126 8.8653130e-001 1.22e+001 3.76e-004  -8.1 2.66e+001  -8.3 3.06e-002 6.89e-001h  1
 127 8.8651531e-001 9.95e-002 1.22e-004  -8.1 1.70e+001  -7.0 1.00e+000 1.00e+000h  1
 128 8.8645821e-001 4.72e-003 8.10e-007  -8.5 2.71e-001  -6.6 1.00e+000 1.00e+000h  1
 129 8.8644806e-001 1.33e-001 7.55e-007  -8.6 1.03e+000  -7.0 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130 8.8643559e-001 1.11e-001 5.04e-005  -8.8 3.83e+000  -7.5 9.48e-001 1.00e+000h  1
 131 8.8642038e-001 2.72e-001 2.35e-004  -9.4 1.69e+001  -8.0 5.91e-001 6.96e-001h  1
 132 8.8646215e-001 2.58e-001 4.07e-003  -7.6 9.30e-001  -7.6 5.97e-002 1.37e-001h  1
 133 8.8643560e-001 2.24e-003 7.15e-007  -8.7 3.61e-002  -6.2 1.00e+000 1.00e+000h  1
 134 8.8642698e-001 1.11e-002 3.22e-005  -8.9 1.66e-001  -6.7 1.00e+000 1.00e+000h  1
 135 8.8641643e-001 4.38e-001 9.84e-006  -9.3 2.63e-001  -7.2 1.00e+000 1.00e+000h  1
