
List of user-set options:

                                    Name   Value                used
                           linear_solver = ma57                  yes
                  ma57_automatic_scaling = yes                   yes
                                max_iter = 2000                  yes
                             mu_strategy = adaptive              yes
                             output_file = DynamicOptimization_FtildeState_vAIPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 1e-006                yes
This is Ipopt version 3.11.0, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:   242731
Number of nonzeros in inequality constraint Jacobian.:    48160
Number of nonzeros in Lagrangian Hessian.............:    85374

Total number of variables............................:    49470
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    49470
                     variables with only upper bounds:        0
Total number of equality constraints.................:    37387
Total number of inequality constraints...............:    24081
        inequality constraints with only lower bounds:    11997
   inequality constraints with lower and upper bounds:       87
        inequality constraints with only upper bounds:    11997

 141 4.8960390e+000 1.37e+000 1.11e-003  -4.7 7.05e-001  -4.2 1.00e+000 1.00e+000h  1
 142 4.8763101e+000 1.55e+000 4.57e-003  -4.5 1.52e+000  -4.7 1.00e+000 1.00e+000h  1
 143 4.7746293e+000 9.65e-001 3.92e-003  -5.1 8.20e-001  -4.3 8.26e-001 1.00e+000h  1
 144 4.7345181e+000 2.38e-001 2.18e-003  -5.5 5.92e-001  -3.9 9.98e-001 1.00e+000h  1
 145 4.7532223e+000 2.14e+000 4.63e-003  -4.7 8.36e-001  -4.3 1.00e+000 9.65e-001h  1
 146 4.6646807e+000 6.90e+000 4.52e-003  -4.8 2.40e+000  -4.8 1.00e+000 1.00e+000h  1
 147 4.5860929e+000 1.02e+000 5.98e-003  -5.3 1.20e+000  -4.4 9.98e-001 1.00e+000h  1
 148 4.5947224e+000 8.91e-001 4.58e-002  -4.7 1.69e+000  -4.9 1.00e+000 6.67e-001h  1
 149 4.5259905e+000 2.99e-001 5.55e-004  -5.3 8.92e-001  -4.4 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150 4.5218251e+000 1.42e+000 1.28e-003  -4.8 1.87e+000  -4.9 1.00e+000 1.00e+000h  1
 151 4.4528410e+000 3.74e-001 3.47e-004  -5.3 9.12e-001  -4.5 1.00e+000 1.00e+000h  1
 152 4.4173522e+000 6.66e-001 6.49e-003  -5.0 2.08e+000  -5.0 1.00e+000 8.33e-001h  1
 153 4.3679458e+000 3.11e-001 5.10e-004  -5.6 8.66e-001  -4.5 1.00e+000 1.00e+000h  1
 154 4.3896800e+000 2.89e-001 9.06e-003  -4.9 2.28e+000  -5.0 1.00e+000 6.34e-001h  1
 155 4.3498388e+000 1.58e-001 3.06e-004  -5.3 8.51e-001  -4.6 9.98e-001 1.00e+000h  1
 156 4.3119786e+000 2.00e+000 5.83e-003  -5.4 2.51e+000  -5.1 1.00e+000 6.50e-001h  1
 157 4.3153669e+000 6.88e-001 1.01e-003  -5.2 8.66e-001  -4.6 1.00e+000 1.00e+000h  1
 158 4.4140739e+000 3.03e+000 1.60e-002  -4.7 1.97e+000  -5.1 5.98e-001 1.00e+000h  1
 159 4.3948013e+000 5.55e-001 2.47e-004  -4.9 1.85e-001  -3.8 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160 4.3398012e+000 1.45e-001 1.82e-003  -5.4 5.78e-001  -4.3 9.30e-001 1.00e+000h  1
 161 4.3087319e+000 2.75e-001 1.97e-002  -5.4 1.10e+000  -4.8 1.00e+000 5.93e-001h  1
 162 4.2966515e+000 2.47e-001 4.51e-003  -5.1 2.37e+000  -5.2 1.00e+000 8.33e-001h  1
 163 4.2514222e+000 5.16e+000 3.31e-003  -5.5 1.77e+000  -4.8 9.96e-001 1.00e+000h  1
 164 4.2824055e+000 1.33e+000 2.41e-002  -5.0 2.64e+000  -5.3 2.42e-001 1.00e+000h  1
 165 4.2394104e+000 3.32e-001 5.05e-004  -5.3 9.83e-001  -4.9 1.00e+000 1.00e+000h  1
 166 4.2183384e+000 1.73e-001 1.26e-002  -5.6 5.33e-001  -4.4 8.22e-001 1.00e+000h  1
 167 4.2068199e+000 4.78e-002 1.61e-004  -6.0 2.57e-001  -4.0 1.00e+000 1.00e+000h  1
 168 4.2047187e+000 1.31e-001 6.57e-003  -5.7 6.96e-001  -4.5 1.00e+000 6.13e-001h  1
 169 4.2055729e+000 2.80e-001 1.03e-002  -5.4 1.40e+000  -5.0 1.00e+000 6.25e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170 4.1990110e+000 6.88e-001 2.03e-002  -5.5 3.60e+000  -5.4 1.00e+000 2.73e-001h  1
 171 4.1829575e+000 2.08e+000 1.40e-004  -5.6 1.36e+000  -5.0 1.00e+000 1.00e+000h  1
 172 4.1985787e+000 1.31e+000 2.14e-002  -5.1 3.88e+000  -5.5 7.39e-001 4.61e-001h  1
 173 4.1939984e+000 7.49e-001 1.74e-004  -5.3 1.45e+000  -5.1 1.00e+000 1.00e+000h  1
